,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,fitness
0,0.125,-0.5,0.5,-0.875,0.875,-0.5,-0.375,0.875,-0.625,0.0,-0.25,-0.625,0.75,0.125,0.75,-0.25,0.875,-1.0,0.125,1
1,-1.0,0.0,-0.5,-1.0,0.375,0.0,-0.125,0.375,-0.625,0.5,0.75,-0.25,0.875,0.125,-0.375,-0.5,0.875,-0.875,-0.375,1
2,-1.0,0.25,0.5,-0.875,0.875,-0.5,-0.25,0.875,-0.75,0.0,-0.25,-0.5,0.875,0.125,-0.25,-0.5,0.625,-0.75,0.125,0
3,0.0,-1.0,0.5,-0.875,-0.125,-0.875,-0.25,0.875,-0.75,0.5,-0.25,-0.25,0.75,0.0,-0.5,-0.75,0.875,-0.875,0.125,0
4,0.0,-0.25,0.5,-0.875,0.375,0.125,-0.125,0.375,-0.75,0.5,-0.375,-0.625,0.75,0.0,0.75,-0.5,0.875,-0.75,0.125,0
5,-1.0,0.0,-0.5,-1.0,-0.125,0.0,-0.25,-0.125,-0.75,0.0,-0.25,-0.625,0.75,-0.5,-0.125,-0.375,0.875,-0.875,0.125,1
6,-1.0,0.5,0.5,-1.0,0.375,-1.0,-0.25,0.875,-0.5,0.5,0.25,-0.125,0.75,0.125,0.625,-0.75,0.375,-0.75,0.125,4
7,-0.875,-0.75,-0.5,-0.75,-0.125,-1.0,-0.25,0.875,-0.75,0.0,-0.25,-0.25,0.875,0.125,0.625,-0.5,0.875,-1.0,0.125,2
8,-0.875,0.5,-0.5,-1.0,0.875,-0.5,-0.25,0.875,-0.625,0.5,0.75,-0.625,0.875,0.0,-0.5,0.375,0.625,-0.75,0.125,0
9,0.0,-0.5,-0.5,-1.0,0.875,0.5,-0.75,0.875,-0.625,0.5,-0.25,-0.25,0.75,0.0,0.75,-0.375,0.875,-0.625,0.125,1
10,-1.0,0.5,0.5,-0.875,0.375,-0.375,-0.25,0.375,-0.625,0.5,-0.25,-0.25,0.75,0.125,0.75,-0.625,0.875,-0.75,0.125,1
11,-0.875,0.25,0.5,-0.875,0.875,0.375,-0.75,0.875,-0.375,0.0,0.75,-0.625,0.75,0.0,-0.125,-0.875,0.625,-0.75,0.125,1
12,-1.0,0.0,0.5,-0.875,-0.625,-0.375,-0.625,0.875,-0.625,0.5,-0.25,-0.25,0.75,0.0,0.625,-0.125,0.625,-0.625,0.125,1
13,0.0,0.0,0.5,-1.0,0.875,-1.0,-0.75,0.875,-0.625,0.5,0.75,-0.25,0.75,0.0,-0.375,0.25,0.875,-0.625,0.125,0
14,0.0,0.25,0.5,-0.875,0.375,-0.625,-0.125,0.375,-0.75,0.5,0.75,-0.25,0.75,-0.5,0.625,-0.25,0.625,-0.625,0.125,0
15,0.0,0.25,0.5,-0.875,-0.625,0.5,-0.125,0.375,-0.5,0.5,-0.25,-0.625,0.75,0.125,0.625,-0.25,0.875,-0.875,0.25,0
16,-0.875,-1.0,0.5,-0.875,0.875,0.5,-0.625,0.875,-0.75,0.5,0.75,-0.125,0.75,0.0,0.625,-0.25,0.625,-0.75,0.125,0
17,-0.875,-0.5,-0.5,-0.875,0.375,0.0,-0.875,0.375,-0.625,0.0,0.625,-0.25,0.75,0.0,0.25,-0.75,0.875,-0.5,0.125,0
18,-1.0,0.0,0.5,-1.0,0.375,0.5,-0.25,0.875,-0.625,0.5,-0.25,-0.25,0.75,0.125,0.5,-1.0,0.625,-0.75,0.125,0
19,-0.875,0.5,0.5,-1.0,-0.125,0.0,-0.25,0.375,-0.875,0.5,0.25,-0.25,0.75,0.125,-0.25,-0.25,0.625,-0.625,0.125,0
20,0.625,-0.125,-0.25,-1.0,0.75,-0.25,-0.25,0.75,-1.0,0.0,0.75,-1.0,0.75,-0.125,0.0,-0.75,-0.125,-1.0,0.125,0
21,0.625,-0.125,0.75,-1.0,0.125,0.75,-0.25,0.875,-1.0,0.0,0.75,-0.75,0.75,-0.375,0.0,-1.0,-0.125,-1.0,0.125,1
22,0.875,-0.375,0.25,-1.0,0.375,0.75,-0.25,0.875,-1.0,0.25,0.75,-0.75,0.625,0.875,0.0,-0.75,0.375,-1.0,0.0,0
23,-0.625,-0.375,0.75,-1.0,0.25,0.75,-0.25,0.75,-1.0,0.25,0.75,-1.0,0.875,0.625,0.0,-1.0,0.625,-1.0,0.125,2
24,0.25,-0.375,0.75,-1.0,0.625,0.75,-0.25,0.75,-1.0,0.25,0.75,-1.0,0.75,-0.375,0.0,-1.0,-0.125,-1.0,0.0,1
25,0.375,-0.375,0.5,-1.0,0.0,-0.25,-0.25,0.875,-1.0,0.25,0.75,-1.0,0.75,0.875,0.0,-0.5,-0.375,-1.0,0.125,2
26,-0.25,-0.125,0.75,-1.0,0.5,0.25,-0.25,0.875,-1.0,0.0,0.75,-0.75,0.875,-0.375,-0.5,-0.75,0.625,-1.0,0.0,2
27,-0.625,-0.125,0.75,-1.0,0.125,0.75,-0.375,0.875,-1.0,0.0,0.75,-1.0,0.875,-0.375,0.0,-1.0,-0.375,-1.0,0.0,1
28,-0.25,-0.375,0.25,-1.0,-0.5,0.25,-0.25,0.75,-1.0,0.25,0.75,-1.0,0.75,0.625,0.0,-0.75,0.75,-1.0,0.0,1
29,-0.25,-0.375,0.0,-1.0,0.375,-0.25,-0.25,0.75,-1.0,0.25,0.75,-1.0,0.875,0.375,0.0,-1.0,-0.125,-1.0,0.125,1
30,-0.125,-0.25,0.75,-1.0,0.375,-0.25,-0.25,0.875,-1.0,0.25,0.75,-1.0,0.875,-0.125,0.0,-0.75,0.625,-1.0,0.0,1
31,-0.125,-0.375,0.25,-1.0,0.5,0.625,-0.25,0.875,-1.0,0.0,0.75,-1.0,0.75,0.375,0.0,-0.875,0.875,-1.0,0.125,1
32,-0.25,-0.375,0.25,-1.0,0.625,0.75,-0.25,0.75,-1.0,0.5,0.75,-1.0,0.75,0.625,0.0,-1.0,0.875,-1.0,0.25,0
33,0.25,-0.375,0.25,-1.0,0.875,0.75,0.25,0.75,-1.0,0.25,0.75,-0.75,0.75,-0.125,0.0,-0.75,-0.375,-1.0,0.125,2
34,-0.625,-0.125,0.0,-1.0,0.875,0.75,-0.25,0.75,-1.0,-0.5,0.75,-1.0,0.75,-0.375,0.0,-1.0,-0.125,-1.0,0.125,3
35,-0.125,-0.375,0.25,-1.0,0.25,0.75,-0.25,0.875,-1.0,0.25,0.75,-0.5,0.75,0.875,0.0,-1.0,0.875,-1.0,0.0,0
36,-0.625,-0.125,0.75,-1.0,0.25,0.75,-0.25,0.75,-1.0,0.0,0.75,-0.75,0.875,-0.125,0.0,-0.5,0.625,-1.0,0.125,1
37,-0.75,-0.125,0.75,-1.0,0.75,0.75,-0.25,0.75,-1.0,0.0,0.75,-0.75,0.75,-0.125,0.0,-0.75,0.625,-1.0,0.0,1
38,-0.25,-0.375,0.75,-1.0,-0.5,-0.25,-0.25,0.875,-1.0,0.0,0.625,-1.0,0.75,0.625,0.0,-0.75,-0.375,-1.0,0.125,0
39,-0.75,-0.25,0.5,-1.0,0.875,0.75,-0.375,0.875,-1.0,0.25,0.75,-0.75,0.75,0.875,0.0,-0.75,0.875,-1.0,0.0,1
40,0.5,0.25,0.875,-0.875,0.625,0.5,-0.5,-0.125,-1.0,0.5,0.5,-0.875,0.625,0.25,-0.625,-0.875,0.875,-0.25,0.125,1
41,0.125,-0.75,0.625,-1.0,0.625,0.5,0.5,-0.5,-0.75,-1.0,0.875,-0.875,-0.5,0.0,0.375,-0.875,0.875,-0.25,0.125,0
42,0.625,0.25,0.875,-1.0,0.25,-0.5,-1.0,-0.125,-1.0,-0.75,0.75,-0.875,0.75,0.0,-0.625,-1.0,0.875,-0.5,-0.875,0
43,0.625,0.25,0.75,-0.875,0.125,-0.5,-1.0,-0.125,-1.0,-0.5,0.75,-0.875,0.625,0.0,-0.75,-1.0,0.875,-1.0,0.125,0
