,a1,a2,a3,a4,C,fitness
0,0.0,0.0,-1.0,0.625,-0.125,2
1,0.0,0.125,-1.0,0.625,-0.125,4
2,0.0,0.125,-1.0,0.625,-0.125,6
3,-0.5,0.125,-1.0,0.625,-0.125,0
4,0.0,0.0,-1.0,0.625,-0.125,1
5,0.0,0.0,-1.0,0.625,-0.125,1
6,0.0,0.125,-1.0,0.625,-0.125,2
7,0.0,0.0,-1.0,0.625,-0.125,1
8,0.0,0.125,-1.0,0.625,-0.125,1
9,0.0,0.125,-1.0,0.625,-0.125,7
10,0.0,0.0,-1.0,0.625,-0.125,2
11,0.0,0.125,-1.0,0.625,0.375,0
12,0.0,0.0,-1.0,0.625,-0.125,3
13,0.0,0.125,-1.0,0.625,-0.125,2
14,0.0,0.125,-1.0,0.375,-0.125,1
15,0.0,0.125,-1.0,0.625,-0.125,2
16,0.0,0.25,-1.0,0.625,-0.125,3
17,0.0,0.125,-1.0,0.625,-0.125,6
18,0.0,0.125,-1.0,0.625,-0.125,6
19,0.0,-0.375,-1.0,0.625,-0.125,0
20,0.0,0.125,-1.0,0.5,-0.125,2
21,0.0,-0.5,-1.0,0.5,0.375,0
22,0.0,0.0,-1.0,0.5,-0.125,6
23,-0.5,0.125,-1.0,0.5,-0.125,0
24,0.0,0.125,-1.0,0.5,-0.125,1
25,0.0,-0.5,-1.0,0.5,-0.125,3
26,0.0,0.0,-1.0,0.5,-0.125,1
27,0.0,0.125,-1.0,0.5,-0.125,3
28,0.0,0.125,-1.0,0.5,-0.125,2
29,0.0,0.0,-1.0,0.5,-0.125,3
30,0.0,0.125,-1.0,0.5,-0.125,4
31,0.0,0.0,-1.0,0.5,-0.125,1
32,0.0,0.0,-1.0,0.5,-0.125,3
33,0.0,0.125,-1.0,0.5,-0.125,3
34,0.0,0.0,-1.0,0.5,-0.125,6
35,0.0,0.125,-1.0,0.5,-0.125,2
36,0.0,0.0,-1.0,0.5,-0.125,9
37,0.0,0.0,-1.0,0.5,0.375,0
38,0.0,0.0,-1.0,0.5,-0.125,4
39,0.0,0.125,-1.0,0.5,-0.125,1
40,0.0,0.0,-1.0,0.5,-0.125,1
41,0.0,0.0,-1.0,0.5,-0.125,2
42,0.125,0.0,-1.0,0.5,-0.125,10
43,0.0,0.125,-1.0,0.5,-0.125,6
44,0.0,0.125,-1.0,0.5,0.375,0
45,0.0,0.0,-1.0,0.5,-0.125,6
46,0.125,0.0,-1.0,0.5,-0.125,2
47,0.125,0.125,-1.0,0.5,-0.125,1
48,0.0,0.0,-1.0,0.5,-0.125,1
